Project;n;Original project;Original language(s);Domain;Label correct;Match correct;Email?;SonarQube;RCA support;Same as original owner;Owner type;Archived;Original archived;Stars;Original stars;Forks;Original forks;Project size;Original project size;Rust percentage
asciinema/asciinema;;Same;Python;App;y;;y;;;TRUE;Organization;FALSE;;17141;;1012;;281982;;92,0
aspizu/goboscript;;Same;Python;Tool;y;;y;;;TRUE;User;FALSE;;477;;49;;431911;;88,1
atomashpolskiy/rustface;;seetaface/SeetaFaceEngine;C++;Non-web lib;y;y;y;;;FALSE;User;FALSE;FALSE;434;4643;40;1762;98783;298313;100,0
autozimu/LanguageClient-neovim;;Same;Python;Tool;y;;y;;;TRUE;User;FALSE;;3557;;269;;420460;;71,3
BaguaSys/bagua;;Same;Python;Non-web lib;y;;y;;;TRUE;Organization;FALSE;;883;;81;;1187649;;26,8
bakape/shamichan;;Same;JavaScript,TypeScript,Go;App;y;;y;;;TRUE;User;TRUE;;446;;78;;526178;;67,2
bazelbuild/sandboxfs;;Same;Go;System;y;;y;;;TRUE;Organization;FALSE;;400;;42;;436244;;50,8
bensadeh/tailspin;;Same;Go;App;y;;;;;TRUE;User;FALSE;;7763;;134;;225689;;100,0
biliup/biliup-app;;Same;Python;App;y;;;;;TRUE;Organization;TRUE;;1434;;67;;275468;;60,1
biomejs/biome;;rome/tools;JavaScript,TypeScript;Tool;y;;y;;;FALSE;Organization;FALSE;TRUE;24274;23472;936;648;25047028;9021068;85,8
BitVM/BitVM;;Same;JavaScript;App;y;;;;;TRUE;Organization;FALSE;;504;;184;;2161930;;99,8
block/goose;;Same;Python;App;y;;y;;;TRUE;Organization;FALSE;;39305;;3854;;8238442;;58,4
Boddlnagg/midir;;thestk/rtmidi;C++;Non-web lib;y;y;y;;;FALSE;User;FALSE;FALSE;795;1167;100;299;156817;324263;100,0
build-trust/ockam;;Same;JavaScript;System;y;;y;;;TRUE;Organization;FALSE;;4611;;558;;6878430;;80,8
bytecodealliance/wasmtime;;Same;C;Tool;y;;y;;;TRUE;Organization;FALSE;;17866;;1664;;36058816;;70,4
c3rb3ru5d3d53c/binlex;;Same;C;App;y;;;;;TRUE;User;FALSE;;525;;59;;2605654;;82,6
candy-lang/candy;;Same;Dart;Tool;y;;y;;;TRUE;Organization;FALSE;;342;;4;;1816396;;97,2
cangzhang/champ-r;;Same;JavaScript,TypeScript;App;y;;y;;;TRUE;User;FALSE;;1721;;133;;129950;;50,8
Canner/wren-engine;;Same;Python;System;y;;y;;;TRUE;Organization;FALSE;;635;;183;;4798992;;17,9
canselcik/libremarkable;;Same;C,C++;Non-web lib;y;;y;;;TRUE;User;FALSE;;681;;62;;670029;;23,7
ChainSafe/forest;;filecoin-project/lotus;Go;System;y;y;y;;;FALSE;Organization;FALSE;FALSE;693;2999;187;1368;5072838;8451289;96,9
chenxiaolong/avbroot;;Same;Python;App;y;;;;;TRUE;User;FALSE;;862;;67;;1021986;;100,0
chewing/libchewing;;Same;C;Non-web lib;y;;y;;;TRUE;Organization;FALSE;;414;;104;;1043253;;62,5
